year,agency_name,total_refunds,total_final_levy,total_final_rate,refund_levyshare,homerule_label
2021,CITY OF CALUMET CITY SPEC SERV AREA 1998-2,-24294,309000,0.659,0.079,Homerule
2021,CITY OF CHICAGO SPEC SERV AREA #3,-64071,1025126,0.883,0.063,Homerule
2021,CITY OF CHICAGO SPEC SERVICE AREA #5,-18407,320409,2.362,0.057,Homerule
2021,CITY OF CHICAGO SPECIAL SERVICE AREA 7,-7106,131387,0.804,0.054,Homerule
2021,CITY OF CHICAGO SPECIAL SERVICE AREA 13,-65474,1121093,0.512,0.058,Homerule
2021,CITY OF CHICAGO SPECIAL SERVICE AREA #38,-15334,280566,0.212,0.055,Homerule
2021,CITY OF CHICAGO SPEC SERV AREA #55,-1855,31250,0.278,0.059,Homerule
2021,CITY OF CHICAGO SPEC SERV AREA #61,-16944,295741,0.579,0.057,Homerule
2021,CITY OF CHICAGO SPECIAL SERVICE AREA 28-2014,-15317,251484,0.405,0.061,Homerule
2021,CITY OF CHICAGO SPECIAL SERVICE AREA 21-2016,-15820,297857,0.293,0.053,Homerule
2021,CITY OF DESPLAINES SPEC SERV AREA #10,-2245,3008,0.27,0.746,Homerule
2021,VIL OF GLENVIEW SPECIAL SERVICE AREA 63,-329,5208,0.18,0.063,Homerule
2021,VILLAGE OF GOLF,-45039,811037,1.984,0.056,Homerule
2021,VILLAGE OF HODGKINS,-281416,4090007,1.65,0.069,Homerule
2021,VIL OF OAK LAWN SPECIAL SERVICE AREA #2001-1,-13751,83481,0.874,0.165,Homerule
2021,VIL OF SCHILLER PARK SPECIAL SERVICE AREA 9,-455,8333,1.452,0.055,Homerule
2021,VIL OF STREAMWOOD SPEC SERVICE AREA #17,-3,59,0.4,0.051,Homerule
2021,SCHOOL DISTRICT 31,-1567047,19742733,3.174,0.079, Non-Homerule
2021,EAST HAZELCREST PUBLIC LIBRARY DISTRICT,-2099,36332,0.163,0.058, Non-Homerule
2021,FORD HEIGHTS PUBLIC LIBRARY DISTRICT,-262,261,0.003,1.004, Non-Homerule
2021,HODGKINS PUBLIC LIBRARY DISTRICT,-41538,684834,0.278,0.061, Non-Homerule
2021,ELK GROVE RURAL FIRE PROTECTION DISTRICT,-48120,902045,1.478,0.053, Non-Homerule
2021,HOFFMAN ESTATES FIRE PROTECTION DIST 1,-12509,78342,0.476,0.16, Non-Homerule
2021,SOUTHWEST HOME EQUITY ASSURANCE,-257,257,0,1, Non-Homerule
2022,GENERAL ASSISTANCE BARRINGTON,-307,307,0,1, Non-Homerule
2022,VIL OF BARTLETT SPEC SERV AREA 1- BLUFF CITY,-61531,1035773,9.195,0.059,Homerule
2022,VILLAGE OF BEDFORD PARK,-886189,15685280,3.358,0.056,Homerule
2022,CITY OF CALUMET CITY SPEC SERV AREA 1998-2,-36911,309000,0.748,0.119,Homerule
2022,CITY OF CHICAGO SPEC SERV AREA 2,-15255,280000,0.991,0.054,Homerule
2022,CITY OF CHICAGO SPEC SERV AREA #3,-64114,1088730,0.966,0.059,Homerule
2022,CITY OF CHICAGO SPECIAL SERVICE AREA 7,-7086,131460,0.804,0.054,Homerule
2022,CITY OF CHICAGO SPECIAL SERVICE AREA 13,-66946,1135243,0.544,0.059,Homerule
2022,CITY OF CHICAGO SPECIAL SERVICE AREA 31,-44397,560786,0.238,0.079,Homerule
2022,CITY OF CHICAGO SPECIAL SERVICE AREA #32,-24556,438428,1.649,0.056,Homerule
2022,CITY OF CHICAGO SPECIAL SERVICE AREA #38,-17016,278994,0.215,0.061,Homerule
2022,CITY OF CHICAGO SPECIAL SERVICE AREA 45,-63515,840219,1.55,0.076,Homerule
2022,CITY OF CHICAGO SPECIAL SERVICE AREA 69,-24341,457789,1.235,0.053,Homerule
2022,CITY OF CHICAGO SPECIAL SERVICE AREA 73,-5212,54500,0.088,0.096,Homerule
2022,VILLAGE OF   CRESTWOOD,-136312,1995241,0.579,0.068, Non-Homerule
2022,VILLAGE OF EAST HAZELCREST,-53517,829153,3.702,0.065,Homerule
2022,VILLAGE OF GLENVIEW SPEC SERV AREA #38,-557,8889,0.806,0.063,Homerule
2022,VILLAGE OF LYONS LIBRARY FUND,-42460,812076,0.422,0.052, Non-Homerule
2022,VIL OF STREAMWOOD SPEC SERVICE AREA #17,-4,59,0.4,0.068,Homerule
2022,SCHOOL DISTRICT  143,-657765,9498635,4.602,0.069, Non-Homerule
2022,SCHOOL DISTRICT  152,-292318,5617588,4.948,0.052, Non-Homerule
2022,SCHOOL DISTRICT  154,-203495,3200823,5.723,0.064, Non-Homerule
2022,SCHOOL DISTRICT 157,-722658,8866938,9.855,0.082, Non-Homerule
2022,SCHOOL DISTRICT 158,-1194413,21669054,7.867,0.055, Non-Homerule
2022,BEDFORD PARK PARK DISTRICT,-96785,1837986,0.379,0.053, Non-Homerule
2022,BEDFORD PARK PUBLIC LIBRARY DISTRICT,-92165,1705521,0.369,0.054, Non-Homerule
2022,CRESTWOOD PUBLIC LIB DIST,-47279,693046,0.216,0.068, Non-Homerule
2022,EAST HAZELCREST PUBLIC LIBRARY DISTRICT,-5741,39982,0.179,0.144, Non-Homerule
2022,SUMMIT PUBLIC LIBRARY DISTRICT,-29531,402931,0.246,0.073, Non-Homerule
2022,MILLER WOODS FIRE PROTECTION DISTRICT,-1920,13044,0.231,0.147, Non-Homerule
2023,GENERAL ASSISTANCE BARRINGTON,-320,835,0,0.383, Non-Homerule
2023,NORTHFIELD TWP SPECIAL POLICE DISTR,-230,1259,0.001,0.183, Non-Homerule
2023,VILLAGE OF   BURNHAM,-386884,4698860,6.953,0.082,Homerule
2023,CITY OF CHICAGO SPEC SERV AREA #3,-60181,1101824,0.958,0.055,Homerule
2023,CITY OF CHICAGO SPEC SERVICE AREA #5,-19672,339236,2.501,0.058,Homerule
2023,CITY OF CHICAGO SPECIAL SERVICE AREA 7,-17768,131660,0.805,0.135,Homerule
2023,CITY OF CHICAGO SPECIAL SERVICE AREA #22,-12973,244339,0.36,0.053,Homerule
2023,CITY OF CHICAGO SPECIAL SERVICE AREA 47,-18978,370084,1.048,0.051,Homerule
2023,CITY OF CHICAGO SPECIAL SERVICE AREA 28-2014,-19149,263867,0.431,0.073,Homerule
2023,VILLAGE OF GLENVIEW SPEC SERV AREA #38,-549,8675,0.854,0.063,Homerule
2023,VILLAGE OF HODGKINS,-313784,4089995,1.299,0.077,Homerule
2023,VIL OF OAK LAWN SPECIAL SERVICE AREA #2001-1,-34621,44289,0.435,0.782,Homerule
2023,VIL OF SOUTH BARRINGTON SPEC SERV AREA #3,-55136,560952,1.612,0.098,Homerule
2023,SCHOOL DISTRICT  132,-392933,6199242,4.329,0.063, Non-Homerule
2023,SCHOOL DISTRICT 155,-603654,9511902,6.882,0.063, Non-Homerule
2023,HODGKINS PARK DISTRICT,-65923,1110950,0.567,0.059, Non-Homerule
2023,FORD HEIGHTS PUBLIC LIBRARY DISTRICT,-486,574,0.005,0.847, Non-Homerule
